ticker,shares
1301.T,11877283.0
130A.T,6487114.0
1332.T,303271829.0
1333.T,151183299.0
135A.T,10256000.0
1375.T,39882822.0
1376.T,10966049.0
1377.T,42259696.0
1379.T,31346374.0
137A.T,2952340.0
1380.T,4169122.0
1381.T,5615670.0
1382.T,761620.0
1383.T,1600356.0
1384.T,8458838.0
138A.T,992000.0
1401.T,6931902.0
1407.T,39659150.0
1414.T,200961640.0
1417.T,87916008.0
1418.T,15253949.0
1419.T,28988158.0
141A.T,122642482.0
1420.T,12401689.0
1429.T,32181729.0
142A.T,2905200.0
1430.T,11990562.0
1431.T,23265827.0
1433.T,8860910.0
1434.T,6958520.0
1435.T,88857000.0
1436.T,12367095.0
1438.T,3244213.0
143A.T,1932700.0
1443.T,16234098.0
1444.T,1087877.0
1446.T,9302600.0
1447.T,24357966.0
1450.T,8698750.0
145A.T,5124800.0
146A.T,7668600.0
147A.T,45740479.0
148A.T,1920600.0
1491.T,14369676.0
149A.T,3214320.0
150A.T,5666100.0
1514.T,59823147.0
1515.T,78682023.0
1518.T,37027960.0
151A.T,8400775.0
153A.T,6346400.0
155A.T,10285504.0
156A.T,9442892.0
157A.T,3314900.0
1605.T,1162189867.0
160A.T,3587400.0
1662.T,255999402.0
1663.T,53405424.0
166A.T,61720624.0
167A.T,40100944.0
168A.T,1470000.0
1711.T,10432663.0
1716.T,11248607.0
1717.T,11758656.0
1718.T,1073669.0
1719.T,156883072.0
1720.T,106273199.0
1721.T,115470249.0
1723.T,63732812.0
1724.T,4479123.0
1736.T,15494352.0
173A.T,4218101.0
1758.T,1996002.0
175A.T,2155951.0
1762.T,34818467.0
1764.T,1246284.0
1766.T,11100980.0
1768.T,7305368.0
1770.T,9184046.0
177A.T,5111600.0
1780.T,18627182.0
1783.T,193308568.0
1786.T,128632331.0
1787.T,2452013.0
1788.T,626852.0
1793.T,25434086.0
1795.T,877692.0
1798.T,10904700.0
1799.T,17707127.0
1801.T,163009119.0
1802.T,687421514.0
1803.T,679201277.0
1807.T,6243957.0
1808.T,264644418.0
1810.T,28520861.0
1811.T,7161528.0
1812.T,461299593.0
1813.T,15149354.0
1814.T,10295215.0
1815.T,13930927.0
1820.T,39484430.0
1822.T,84281230.0
1826.T,12045582.0
1827.T,34363945.0
1828.T,10498450.0
1833.T,35870669.0
1835.T,34441761.0
1840.T,25774988.0
1844.T,18716051.0
1847.T,14516944.0
1848.T,17664842.0
184A.T,3413500.0
1850.T,28027542.0
1852.T,80486496.0
1853.T,32749698.0
1860.T,296040040.0
1861.T,169917537.0
1866.T,24320756.0
1867.T,6575169.0
186A.T,141780800.0
1870.T,43181716.0
1871.T,46819446.0
1873.T,39998190.0
1878.T,325420771.0
1879.T,58489508.0
1882.T,46207588.0
1885.T,77316780.0
1887.T,79746254.0
1888.T,12727355.0
1893.T,271174196.0
1897.T,2104921.0
1898.T,36632141.0
1899.T,16563308.0
189A.T,2286000.0
1904.T,6216664.0
1905.T,6666237.0
1909.T,26814704.0
190A.T,75216400.0
1911.T,613170557.0
1914.T,18291634.0
1921.T,33564195.0
1925.T,619347095.0
1926.T,41060399.0
1928.T,648238209.0
1929.T,41769277.0
192A.T,2140000.0
1930.T,27502538.0
1934.T,68686811.0
1938.T,24780549.0
1939.T,47334611.0
1941.T,52942503.0
1942.T,199013954.0
1944.T,164481718.0
1945.T,33134863.0
1946.T,92832858.0
1948.T,8733600.0
194A.T,7549900.0
1950.T,58372105.0
1951.T,203216625.0
1952.T,45448458.0
1959.T,70734825.0
195A.T,3418520.0
1960.T,15354430.0
1961.T,152752368.0
1963.T,241850699.0
1964.T,6981503.0
1965.T,20503530.0
1966.T,7309684.0
1967.T,22386289.0
1968.T,63104380.0
1969.T,130862824.0
196A.T,10198900.0
1972.T,19277535.0
1975.T,25875683.0
1976.T,45902096.0
1979.T,62999595.0
197A.T,106454551.0
1980.T,129378062.0
1981.T,9721274.0
1982.T,41265030.0
198A.T,12350060.0
1992.T,2289728.0
1994.T,7923747.0
1997.T,2021982.0
2001.T,82661080.0
2002.T,279614342.0
2003.T,36419148.0
2004.T,32496840.0
2009.T,23294420.0
2053.T,28696273.0
2055.T,18111793.0
205A.T,3923855.0
2060.T,38269144.0
206A.T,36964000.0
208A.T,10497678.0
2108.T,11765628.0
2109.T,31116649.0
2112.T,27519654.0
2114.T,51300172.0
2117.T,32738556.0
211A.T,1006900.0
2120.T,128340581.0
2121.T,65309346.0
2122.T,6276831.0
2124.T,158953625.0
2127.T,317057300.0
212A.T,16694240.0
2130.T,12818043.0
2134.T,551440992.0
2136.T,3805191.0
2138.T,9567720.0
2139.T,6800024.0
2146.T,567451010.0
2148.T,19485347.0
2152.T,10802550.0
2153.T,17976172.0
2154.T,84946782.0
2156.T,5147072.0
2157.T,82868004.0
2158.T,39181503.0
215A.T,99735797.0
2160.T,65803775.0
2162.T,19200741.0
2163.T,21199326.0
2164.T,15445958.0
2168.T,37352427.0
2169.T,6819639.0
2170.T,106584367.0
2173.T,15657148.0
2175.T,82080449.0
2179.T,5547898.0
2180.T,14811344.0
2181.T,2230672808.0
2183.T,22586431.0
2185.T,12921538.0
2186.T,7867235.0
218A.T,18959900.0
2193.T,71884597.0
2195.T,17552470.0
2198.T,29098060.0
219A.T,22874200.0
2201.T,83969462.0
2204.T,5714605.0
2206.T,61308712.0
2207.T,16301830.0
2208.T,24171469.0
2209.T,12797074.0
220A.T,2746500.0
2211.T,25775606.0
2212.T,196904890.0
2215.T,6923391.0
2216.T,42182392.0
2217.T,20060598.0
2220.T,63249150.0
2221.T,10258687.0
2222.T,154433036.0
2224.T,3474518.0
2226.T,10667778.0
2229.T,121587854.0
2264.T,322774528.0
2266.T,18383422.0
2267.T,287717026.0
2268.T,9635837.0
2269.T,271101956.0
2270.T,60150111.0
2281.T,50262348.0
2282.T,94133328.0
2286.T,8166241.0
2288.T,24072689.0
228A.T,2300050.0
2291.T,3336533.0
2292.T,31673283.0
2293.T,2053531.0
2294.T,9583076.0
2296.T,56750572.0
2300.T,5260996.0
2301.T,13354665.0
2303.T,5945388.0
2304.T,4960892.0
2305.T,16983820.0
2307.T,13996100.0
2311.T,8952732.0
2315.T,177304443.0
2317.T,357455827.0
2321.T,51987302.0
2323.T,21001948.0
2325.T,9523112.0
2326.T,13366385.0
2327.T,182981405.0
2329.T,137594963.0
2330.T,43591290.0
2331.T,486070693.0
2332.T,5127027.0
2334.T,42651470.0
2335.T,15177046.0
2337.T,391977766.0
2338.T,49132796.0
2340.T,31721925.0
2341.T,18289482.0
2342.T,16653219.0
2345.T,18579916.0
2349.T,10925558.0
2351.T,7801882.0
2353.T,312163523.0
2354.T,17825985.0
2359.T,14366101.0
2370.T,278917255.0
2371.T,197836267.0
2373.T,13524721.0
2375.T,19891680.0
2376.T,5607983.0
2378.T,18915942.0
2379.T,52354930.0
2384.T,39717367.0
2385.T,26158198.0
2388.T,42455078.0
2391.T,6630770.0
2393.T,15540723.0
2395.T,41631814.0
2404.T,13360162.0
2408.T,7170029.0
2410.T,5286627.0
2411.T,11034000.0
2413.T,667429661.0
2415.T,10377962.0
2418.T,47043766.0
241A.T,7283170.0
2424.T,5318661.0
2425.T,3793193.0
2428.T,18958040.0
2429.T,17650431.0
2432.T,93640974.0
2433.T,359032040.0
2435.T,11221963.0
2436.T,17392104.0
2437.T,11017818.0
2438.T,15001254.0
2440.T,56374138.0
2445.T,45845395.0
2449.T,4455132.0
244A.T,3355580.0
2454.T,14089693.0
2459.T,7502800.0
245A.T,2524660.0
2461.T,65655829.0
2462.T,19190064.0
2464.T,12663324.0
2469.T,9915158.0
246A.T,2557300.0
2471.T,78103645.0
2475.T,19182966.0
2477.T,5929073.0
2479.T,8027100.0
247A.T,64948876.0
2480.T,3528086.0
2481.T,5520623.0
2483.T,3356793.0
2484.T,111373008.0
2485.T,22502342.0
2488.T,5452568.0
2489.T,39082120.0
248A.T,2621000.0
2491.T,21676329.0
