ticker,code,name,market,sector33,scale
1301.T,1301,極洋,プライム,水産・農林業,TOPIX Small 1
130A.T,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース,医薬品,-
1332.T,1332,ニッスイ,プライム,水産・農林業,TOPIX Mid400
1333.T,1333,Ｕｍｉｏｓ,プライム,水産・農林業,TOPIX Mid400
135A.T,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,情報・通信業,-
1375.T,1375,ユキグニファクトリー,プライム,水産・農林業,TOPIX Small 2
1376.T,1376,カネコ種苗,スタンダード,水産・農林業,TOPIX Small 2
1377.T,1377,サカタのタネ,プライム,水産・農林業,TOPIX Small 1
1379.T,1379,ホクト,プライム,水産・農林業,TOPIX Small 2
137A.T,137A,Ｃｏｃｏｌｉｖｅ,グロース,情報・通信業,-
1380.T,1380,秋川牧園,スタンダード,水産・農林業,-
1381.T,1381,アクシーズ,スタンダード,水産・農林業,-
1382.T,1382,ホーブ,スタンダード,水産・農林業,-
1383.T,1383,ベルグアース,スタンダード,水産・農林業,-
1384.T,1384,ホクリヨウ,スタンダード,水産・農林業,-
138A.T,138A,光フードサービス,グロース,小売業,-
1401.T,1401,エムビーエス,グロース,建設業,-
1407.T,1407,ウエストホールディングス,スタンダード,建設業,-
1414.T,1414,ショーボンドホールディングス,プライム,建設業,TOPIX Mid400
1417.T,1417,ミライト・ワン,プライム,建設業,TOPIX Mid400
1418.T,1418,インターライフホールディングス,スタンダード,建設業,-
1419.T,1419,タマホーム,プライム,建設業,TOPIX Small 1
141A.T,141A,トライアルホールディングス,グロース,小売業,-
1420.T,1420,サンヨーホームズ,スタンダード,建設業,-
1429.T,1429,日本アクア,プライム,建設業,-
142A.T,142A,ジンジブ,グロース,サービス業,-
1430.T,1430,ファーストコーポレーション,スタンダード,建設業,-
1431.T,1431,Ｌｉｂ　Ｗｏｒｋ,グロース,建設業,-
1433.T,1433,ベステラ,プライム,建設業,-
1434.T,1434,ＪＥＳＣＯホールディングス,スタンダード,建設業,-
1435.T,1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,不動産業,TOPIX Small 2
1436.T,1436,グリーンエナジー＆カンパニー,グロース,建設業,-
1438.T,1438,岐阜造園,スタンダード,建設業,-
143A.T,143A,イシン,グロース,サービス業,-
1443.T,1443,技研ホールディングス,スタンダード,建設業,-
1444.T,1444,ニッソウ,グロース,建設業,-
1446.T,1446,キャンディル,スタンダード,建設業,-
1447.T,1447,ＳＡＡＦホールディングス,グロース,建設業,-
1450.T,1450,ＴＡＮＡＫＥＮ,スタンダード,建設業,-
145A.T,145A,Ｌ　ｉｓ　Ｂ,グロース,情報・通信業,-
146A.T,146A,コロンビア・ワークス,スタンダード,不動産業,-
147A.T,147A,ソラコム,グロース,情報・通信業,-
148A.T,148A,ハッチ・ワーク,グロース,情報・通信業,-
1491.T,1491,中外鉱業,スタンダード,非鉄金属,-
149A.T,149A,シンカ,グロース,情報・通信業,-
150A.T,150A,ＪＳＨ,グロース,サービス業,-
1514.T,1514,住石ホールディングス,スタンダード,鉱業,TOPIX Small 2
1515.T,1515,日鉄鉱業,プライム,鉱業,TOPIX Small 1
1518.T,1518,三井松島ホールディングス,プライム,その他製品,TOPIX Small 1
