ticker,name,sector
8035.T,東京エレクトロン,半導体製造装置
6857.T,アドバンテスト,半導体製造装置
6146.T,ディスコ,半導体製造装置
6920.T,レーザーテック,半導体製造装置
7735.T,SCREEN HD,半導体製造装置
6728.T,アルバック,半導体製造装置
6323.T,ローツェ,半導体製造装置
6758.T,ソニー,電機
6861.T,キーエンス,FAセンサー
6273.T,SMC,空圧制御
6981.T,村田製作所,電子部品
6762.T,TDK,電子部品
6971.T,京セラ,電子部品
6954.T,ファナック,産業用ロボット
7011.T,三菱重工,重工業
7012.T,川崎重工,重工業
7013.T,IHI,重工業
6301.T,コマツ,建機
6326.T,クボタ,農機
6367.T,ダイキン,空調
6594.T,ニデック,モーター
6501.T,日立製作所,総合電機
6503.T,三菱電機,総合電機
6506.T,安川電機,モーター
6902.T,デンソー,自動車部品
7974.T,任天堂,ゲーム
9684.T,スクウェア・エニックス,ゲーム
9697.T,カプコン,ゲーム
9766.T,コナミ,ゲーム
3659.T,ネクソン,ゲーム
6460.T,セガサミーHD,ゲーム
4307.T,野村総研,ITサービス
4063.T,信越化学,化学
4568.T,第一三共,医薬品
4519.T,中外製薬,医薬品
4523.T,エーザイ,医薬品
4578.T,大塚HD,医薬品
2413.T,エムスリー,医療IT
4751.T,サイバーエージェント,広告IT
4385.T,メルカリ,フリマEC
4478.T,フリー,SaaS
4704.T,トレンドマイクロ,セキュリティ
9843.T,ニトリHD,小売
3382.T,セブン&アイ,小売
9983.T,ファーストリテイリング,小売
7532.T,パンパシHD,小売
8227.T,しまむら,小売
2670.T,ABCマート,小売
3092.T,ZOZO,ECファッション
3088.T,マツキヨココカラ,ドラッグ
9832.T,オートバックス,カー用品
3048.T,ビックカメラ,家電量販
9201.T,日本航空,空運
9202.T,ANA,空運
9020.T,JR東日本,鉄道
9021.T,JR西日本,鉄道
9022.T,JR東海,鉄道
4661.T,オリエンタルランド,レジャー
9602.T,東宝,映画
9432.T,NTT,通信
9433.T,KDDI,通信
9434.T,ソフトバンク,通信
9984.T,ソフトバンクG,投資会社
8058.T,三菱商事,商社
8031.T,三井物産,商社
8001.T,伊藤忠商事,商社
8002.T,丸紅,商社
8053.T,住友商事,商社
2768.T,双日,商社
7203.T,トヨタ自動車,自動車
7267.T,ホンダ,自動車
7201.T,日産自動車,自動車
7269.T,スズキ,自動車
7261.T,マツダ,自動車
7270.T,SUBARU,自動車
4005.T,住友化学,化学
4188.T,三菱ケミカル,化学
4042.T,東ソー,化学
4452.T,花王,化学
4901.T,富士フイルム,化学
3402.T,東レ,化学
4183.T,三井化学,化学
4204.T,積水化学,化学
5019.T,出光興産,石油
5020.T,ENEOS,石油
5411.T,JFE,鉄鋼
5401.T,日本製鉄,鉄鋼
5713.T,住友金属鉱山,非鉄
5802.T,住友電工,電線
2502.T,アサヒGHD,飲料
2503.T,キリンHD,飲料
2802.T,味の素,食品
2914.T,JT,たばこ
2897.T,日清食品HD,食品
2801.T,キッコーマン,食品
2269.T,明治HD,食品
9101.T,日本郵船,海運
9104.T,商船三井,海運
9107.T,川崎汽船,海運
8802.T,三菱地所,不動産
8801.T,三井不動産,不動産
8830.T,住友不動産,不動産
3003.T,ヒューリック,不動産
8306.T,三菱UFJ,銀行
8316.T,三井住友FG,銀行
8411.T,みずほFG,銀行
8591.T,オリックス,リース
8473.T,SBIホールディングス,証券
8604.T,野村HD,証券
8766.T,東京海上,保険
8750.T,第一生命HD,保険
8267.T,イオン,小売
8113.T,ユニ・チャーム,日用品
4502.T,武田薬品,医薬品
4503.T,アステラス製薬,医薬品
3436.T,SUMCO,半導体
6976.T,太陽誘電,電子部品
6701.T,NEC,電機
6702.T,富士通,電機
6098.T,リクルートHD,人材
4755.T,楽天グループ,IT
9735.T,セコム,警備
9064.T,ヤマトHD,物流
9503.T,関西電力,電力
9501.T,東京電力HD,電力
9531.T,東京ガス,ガス
1605.T,INPEX,石油
5108.T,ブリヂストン,タイヤ
